id,year,pstatabb,pname,genid,genstat,genntan
111,2019,AK,Dillingham,11,OP,"1,697"
112,2019,AK,Dillingham,12,OP,"1,697"
113,2019,AK,Dillingham,13,OP,"1,697"
114,2019,AK,Dillingham,14,OP,"1,697"
115,2019,AK,Dillingham,15,OP,"1,697"
116,2019,AK,Dillingham,16,OP,848
117,2019,AK,Dillingham,17,OP,"3,733"
118,2019,AK,Dillingham,18,OP,"3,733"
119,2019,AK,Dillingham,3,RE,
120,2019,AK,Dillingham,4,RE,
121,2019,AK,Dillingham,5,RE,
122,2019,AK,Dillingham,6,RE,
123,2019,AK,Dillingham,8,RE,
124,2019,AK,Dillingham,IC9,RE,
125,2019,AK,Dutch Harbor,10,OP,"12,584"
126,2019,AK,Dutch Harbor,11,OP,"12,584"
127,2019,AK,Dutch Harbor,12,OP,"10,648"
128,2019,AK,Dutch Harbor,13,OP,"10,648"
129,2019,AK,Dutch Harbor,15,SB,726
130,2019,AK,Dutch Harbor,8,OA,"2,904"
131,2019,AK,Dutch Harbor,9,OA,"2,904"
132,2019,AK,Dutch Harbor,1,RE,
133,2019,AK,Dutch Harbor,2,RE,
134,2019,AK,Dutch Harbor,3,RE,
135,2019,AK,Dutch Harbor,4,RE,
136,2019,AK,Dutch Harbor,5,RE,
137,2019,AK,Dutch Harbor,6,RE,
138,2019,AK,Eielson AFB Central Heat & Power Plant,DG01,SB,69
139,2019,AK,Eielson AFB Central Heat & Power Plant,DG02,SB,69
140,2019,AK,Eielson AFB Central Heat & Power Plant,DG03,SB,69
141,2019,AK,Eielson AFB Central Heat & Power Plant,DG04,SB,69
142,2019,AK,Eielson AFB Central Heat & Power Plant,TG1,OP,"3,218"
143,2019,AK,Eielson AFB Central Heat & Power Plant,TG2,OP,"3,281"
144,2019,AK,Eielson AFB Central Heat & Power Plant,TG3,OP,"15,845"
145,2019,AK,Eielson AFB Central Heat & Power Plant,TG4,OP,"18,407"
146,2019,AK,Eielson AFB Central Heat & Power Plant,TG5,OP,"28,330"
147,2019,AK,Eklutna Generation Station,EGS01,OP,"72,382"
148,2019,AK,Eklutna Generation Station,EGS02,OP,"72,382"
149,2019,AK,Eklutna Generation Station,EGS03,OP,"72,382"
150,2019,AK,Eklutna Generation Station,EGS04,OP,"72,382"
151,2019,AK,Eklutna Generation Station,EGS05,OP,"72,382"
152,2019,AK,Eklutna Generation Station,EGS06,OP,"72,382"
153,2019,AK,Eklutna Generation Station,EGS07,OP,"72,382"
154,2019,AK,Eklutna Generation Station,EGS08,OP,"72,382"
155,2019,AK,Eklutna Generation Station,EGS09,OP,"72,382"
156,2019,AK,Eklutna Generation Station,EGS10,OP,"72,382"
157,2019,AK,Eklutna Hydro Project,1,OP,"95,486"
158,2019,AK,Eklutna Hydro Project,2,OP,"95,486"
159,2019,AK,Elim,3A,OP,303
160,2019,AK,Elim,UNIT1,OP,121
161,2019,AK,Elim,UNIT2,OP,242
162,2019,AK,Elim,UNIT3,RE,605
163,2019,AK,Emmonak,2A,OP,912
164,2019,AK,Emmonak,4a,OP,912
165,2019,AK,Emmonak,5B,OP,"2,372"
166,2019,AK,Emmonak,6,OP,"1,642"
167,2019,AK,Emmonak,2,RE,
168,2019,AK,Emmonak,4,RE,
169,2019,AK,Emmonak,5,RE,
170,2019,AK,Emmonak,5a,RE,
171,2019,AK,ESS Battery Microgrid,1,OP,-240
172,2019,AK,Eva Creek Wind,EVW,OP,"60,106"
173,2019,AK,Eyak Service Center BESS,BESS1,OP,0
174,2019,AK,Fairbanks,5,SB,-59
175,2019,AK,Fairbanks,6,SB,-59
176,2019,AK,Fairbanks,GT1,OP,"3,902"
177,2019,AK,Fairbanks,GT2,OP,"3,902"
178,2019,AK,False Island,1,OP,"1,713"
179,2019,AK,False Island,3,RE,
180,2019,AK,Fire Island Wind,WT1,OP,"48,221"
181,2019,AK,Flywheel Energy Storage System Microgrid,FESS,OP,-375
182,2019,AK,Fort Greely Power Plant,EN-4,SB,11
183,2019,AK,Fort Greely Power Plant,EN-5,SB,11
184,2019,AK,Fort Greely Power Plant,EN-6,SB,22
185,2019,AK,Fort Greely Power Plant,EN-7,SB,22
186,2019,AK,Fort Greely Power Plant,EN-1,RE,
187,2019,AK,Fort Greely Power Plant,EN-2,RE,
188,2019,AK,Fort Greely Power Plant,EN-3,RE,
189,2019,AK,Galena Electric Utility,1A,OP,"1,207"
190,2019,AK,Galena Electric Utility,2A,OP,755
191,2019,AK,Galena Electric Utility,3A,OP,"1,207"
192,2019,AK,Galena Electric Utility,4A,OP,"1,509"
193,2019,AK,Galena Electric Utility,5A,OP,"1,207"
194,2019,AK,Galena Electric Utility,2,RE,
195,2019,AK,Galena Electric Utility,3,RE,
196,2019,AK,Galena Electric Utility,4,RE,
197,2019,AK,Galena Electric Utility,5,RE,
198,2019,AK,Galena Electric Utility,6,RE,
199,2019,AK,Galena Electric Utility,6A,RE,
200,2019,AK,Gambell,1A,OP,362
201,2019,AK,Gambell,UNIT2,OP,604
202,2019,AK,Gambell,UNIT3,OP,966
203,2019,AK,Gambell,UNIT1,RE,
204,2019,AK,George M Sullivan Generation Plant 2,10,OP,"251,487"
205,2019,AK,George M Sullivan Generation Plant 2,11,OP,"127,630"
206,2019,AK,George M Sullivan Generation Plant 2,7,OP,"22,796"
207,2019,AK,George M Sullivan Generation Plant 2,9,OP,"224,751"
208,2019,AK,George M Sullivan Generation Plant 2,GT8,OP,-475
209,2019,AK,George M Sullivan Generation Plant 2,5,RE,
210,2019,AK,George M Sullivan Generation Plant 2,6,RE,
211,2019,AK,Glennallen,6,OP,719
212,2019,AK,Glennallen,7,OP,719
213,2019,AK,Glennallen,8,OP,332
214,2019,AK,Glennallen,9,OP,774
215,2019,AK,Glennallen,1,RE,
216,2019,AK,Glennallen,2,RE,
217,2019,AK,Glennallen,3,RE,138
218,2019,AK,Glennallen,4,RE,138
219,2019,AK,Glennallen,5,RE,138
220,2019,AK,Goat Lake Hydro,1,OP,"15,420"
221,2019,AK,Gold Creek,1,OP,183
222,2019,AK,Gold Creek,2,OP,92
223,2019,AK,Gold Creek,3,OP,92
224,2019,AK,Gold Creek,IC1,SB,0
225,2019,AK,Gold Creek,IC2,SB,0
226,2019,AK,Gold Creek,IC3,SB,0
227,2019,AK,Gold Creek,IC4,SB,1
228,2019,AK,Gold Creek,IC5,SB,0
229,2019,AK,Green Lake,1,OP,"25,567"
230,2019,AK,Green Lake,2,OP,"25,567"
231,2019,AK,Gwitchyaa Zhee,10,OP,299
232,2019,AK,Gwitchyaa Zhee,7,OP,747
233,2019,AK,Gwitchyaa Zhee,8,OP,747
234,2019,AK,Gwitchyaa Zhee,9,OP,299
235,2019,AK,Gwitchyaa Zhee,1,RE,
236,2019,AK,Gwitchyaa Zhee,2A,RE,
237,2019,AK,Gwitchyaa Zhee,3,RE,
238,2019,AK,Gwitchyaa Zhee,4A,RE,
239,2019,AK,Gwitchyaa Zhee,5,RE,
240,2019,AK,Gwitchyaa Zhee,6,RE,
241,2019,AK,Haines,10,OP,-11
242,2019,AK,Haines,11,OP,-17
243,2019,AK,Haines,5,OP,-5
244,2019,AK,Haines,7A,OP,-25
245,2019,AK,Haines,IC8A,OP,-14
246,2019,AK,Haines,9,RE,
247,2019,AK,Healy,1,OP,"155,956"
248,2019,AK,Healy,2,OP,"188,604"
249,2019,AK,Healy,IC1,OP,0
250,2019,AK,Hiilangaay Hydro,GEN 1,U,
251,2019,AK,Hoonah,2A,OP,"2,219"
252,2019,AK,Hoonah,3A,OP,"1,109"
253,2019,AK,Hoonah,4,OP,"1,109"
254,2019,AK,Hoonah,1,RE,
255,2019,AK,Hoonah,3,RE,
256,2019,AK,Hooper Bay,3B,OP,609
257,2019,AK,Hooper Bay,4B,OP,761
258,2019,AK,Hooper Bay,5A,OP,"1,217"
259,2019,AK,Hooper Bay,6,OP,761
260,2019,AK,Hooper Bay,3A,RE,
261,2019,AK,Hooper Bay,4A,RE,
262,2019,AK,Hooper Bay,5,RE,
263,2019,AK,Humpback Creek,1,OP,"1,316"
264,2019,AK,Humpback Creek,2,OP,"1,316"
265,2019,AK,Humpback Creek,3,OP,526
266,2019,AK,Hydaburg,1A,OP,-10
267,2019,AK,Hydaburg,3A,OP,-8
268,2019,AK,Hydaburg,5,OP,-8
269,2019,AK,Industrial Plant,15,OP,318
270,2019,AK,International,1,SB,24
271,2019,AK,International,2,SB,24
272,2019,AK,International,3,RE,
273,2019,AK,Jarvis Street,1,OP,-52
274,2019,AK,Jarvis Street,2,OP,-73
275,2019,AK,Jarvis Street,3,OP,-73
276,2019,AK,Jarvis Street,4,OP,-117
277,2019,AK,Jarvis Street,5,OP,-351
278,2019,AK,JBER Landfill Gas Power Plant,1,OP,"7,380"
279,2019,AK,JBER Landfill Gas Power Plant,2,OP,"7,380"
280,2019,AK,JBER Landfill Gas Power Plant,3,OP,"7,380"
281,2019,AK,JBER Landfill Gas Power Plant,4,OP,"7,380"
282,2019,AK,JBER Landfill Gas Power Plant,5,OP,"7,380"
283,2019,AK,Kake,1B,OP,345
284,2019,AK,Kake,2,OP,759
285,2019,AK,Kake,2A,OP,345
286,2019,AK,Kake,3B,OP,345
287,2019,AK,Kake,4,OP,345
288,2019,AK,Kake,1,RE,
289,2019,AK,Kake,1A,RE,
290,2019,AK,Kake,3A,RE,
291,2019,AK,Kasidaya Creek Hydro,1,OP,"10,741"
292,2019,AK,Kasigluk,1,OP,"1,152"
293,2019,AK,Kasigluk,5A,OP,"1,008"
294,2019,AK,Kasigluk,UNIT2,OP,720
295,2019,AK,Kasigluk,UNIT1,RE,
296,2019,AK,Ketchikan,3,OP,"6,605"
297,2019,AK,Ketchikan,4,OP,"6,605"
298,2019,AK,Ketchikan,5,OP,"6,605"
299,2019,AK,Kiana,1B,OP,324
300,2019,AK,Kiana,3B,OP,432
301,2019,AK,Kiana,4,OP,540
302,2019,AK,Kiana,1A,RE,
303,2019,AK,Kiana,2,RE,
304,2019,AK,Kiana,3A,RE,324
305,2019,AK,King Cove,1,OP,99
306,2019,AK,King Cove,2,OP,164
307,2019,AK,King Cove,3,OP,230
308,2019,AK,King Cove,4,OP,"3,497"
309,2019,AK,King Cove,5,OP,99
310,2019,AK,Kivalina,UNIT1,OP,297
311,2019,AK,Kivalina,UNIT2,OP,446
312,2019,AK,Kivalina,UNIT3,OP,297
313,2019,AK,Kivalina,UNIT4,OP,594
314,2019,AK,Klawock,1,RE,
315,2019,AK,Klawock,2,RE,
316,2019,AK,Klawock,3,RE,
317,2019,AK,Klawock,4,RE,
318,2019,AK,Klawock Power Generation Station,1,OP,"1,944"
319,2019,AK,Kodiak Microgrid,1,OP,0
320,2019,AK,Kodiak Microgrid,2c,OP,0
321,2019,AK,Kodiak Microgrid,3c,OP,0
322,2019,AK,Kodiak Microgrid,4,OP,0
323,2019,AK,Kodiak Microgrid,2,RE,
324,2019,AK,Kodiak Microgrid,3,RE,
325,2019,AK,Kodiak Microgrid,6,RE,
326,2019,AK,Kodiak Microgrid,7,RE,
327,2019,AK,Kodiak Microgrid,8,RE,
328,2019,AK,Kodiak Microgrid,9,RE,
329,2019,AK,Kotlik,UNIT1,OP,421
330,2019,AK,Kotlik,UNIT2,OP,421
331,2019,AK,Kotlik,UNIT3,OP,561
332,2019,AK,Kotlik,UNIT4,OP,561
333,2019,AK,Kotzebue Hybrid,10,OP,"5,178"
334,2019,AK,Kotzebue Hybrid,10wt,OP,40
335,2019,AK,Kotzebue Hybrid,11wt,OP,40
336,2019,AK,Kotzebue Hybrid,12wt,OP,40
337,2019,AK,Kotzebue Hybrid,13WT,OP,40
338,2019,AK,Kotzebue Hybrid,14,OP,"4,833"
339,2019,AK,Kotzebue Hybrid,14wt,OP,40
340,2019,AK,Kotzebue Hybrid,15,OP,"4,833"
341,2019,AK,Kotzebue Hybrid,15WT,OP,40
342,2019,AK,Kotzebue Hybrid,16,OP,"2,417"
343,2019,AK,Kotzebue Hybrid,16WT,OP,40
344,2019,AK,Kotzebue Hybrid,17,OP,"1,208"
345,2019,AK,Kotzebue Hybrid,17WT,OP,40
346,2019,AK,Kotzebue Hybrid,18WT,OP,358
347,2019,AK,Kotzebue Hybrid,19WT,OP,358
348,2019,AK,Kotzebue Hybrid,1WT,OP,239
349,2019,AK,Kotzebue Hybrid,2WT,OP,40
350,2019,AK,Kotzebue Hybrid,3WT,OP,80
351,2019,AK,Kotzebue Hybrid,4WT,OP,199
352,2019,AK,Kotzebue Hybrid,5WT,OP,40
353,2019,AK,Kotzebue Hybrid,6WT,OP,40
354,2019,AK,Kotzebue Hybrid,7A,OP,"1,899"
355,2019,AK,Kotzebue Hybrid,7WT,OP,40
356,2019,AK,Kotzebue Hybrid,8WT,OP,40
357,2019,AK,Kotzebue Hybrid,9wt,OP,40
358,2019,AK,Kotzebue Hybrid,ES1,OP,-7
359,2019,AK,Kotzebue Hybrid,11,RE,
360,2019,AK,Kotzebue Hybrid,12,RE,
361,2019,AK,Kotzebue Hybrid,9,RE,
362,2019,AK,Koyuk,UNIT1,OP,227
363,2019,AK,Koyuk,UNIT2,OP,454
364,2019,AK,Koyuk,UNIT3,OP,568
365,2019,AK,Lake Dorothy Hydroelectric Project,1,OP,"67,932"
366,2019,AK,Lemon Creek,1,SB,120
367,2019,AK,Lemon Creek,2,SB,125
368,2019,AK,Lemon Creek,3,SB,125
369,2019,AK,Lemon Creek,5,SB,-62
370,2019,AK,Lemon Creek,6,SB,-62
371,2019,AK,Lemon Creek,7,SB,134
372,2019,AK,Lemon Creek,IC10,SB,134
373,2019,AK,Lemon Creek,IC11,SB,134
374,2019,AK,Lemon Creek,IC12,SB,134
375,2019,AK,Lemon Creek,IC8,SB,134
376,2019,AK,Lemon Creek,IC9,SB,134
377,2019,AK,Mahoney Lake Hydroelectric,GEN 1,P,
378,2019,AK,Marshall,1,OP,646
379,2019,AK,Marshall,2,OP,517
380,2019,AK,Marshall,3,OP,259
381,2019,AK,McGrath,3A,OP,354
382,2019,AK,McGrath,4A,OP,354
383,2019,AK,McGrath,6,OP,424
384,2019,AK,McGrath,7,OP,424
385,2019,AK,McGrath,11,P,
386,2019,AK,McGrath,12,P,
387,2019,AK,McGrath,13,P,
388,2019,AK,McGrath,14,P,
389,2019,AK,McGrath,3,RE,
390,2019,AK,McGrath,4,RE,
391,2019,AK,McGrath,5,RE,
392,2019,AK,Mountain Village,1,OP,338
393,2019,AK,Mountain Village,3B,OP,564
394,2019,AK,Mountain Village,4A,OP,903
395,2019,AK,Mountain Village,5A,OP,790
396,2019,AK,Mountain Village,3A,RE,
397,2019,AK,Mountain Village,4,RE,
398,2019,AK,Mountain Village,5,RE,
399,2019,AK,Naknek,4A,OP,"1,999"
400,2019,AK,Naknek,5A,OP,"1,538"
401,2019,AK,Naknek,6A,OP,"1,538"
402,2019,AK,Naknek,7A,OP,"1,538"
403,2019,AK,Naknek,8,OP,"1,538"
404,2019,AK,Naknek,NA1,OP,"1,692"
405,2019,AK,Naknek,NA2,OP,"1,692"
406,2019,AK,Naknek,NA3,OP,"1,230"
407,2019,AK,Naknek,NA4,OP,"1,230"
408,2019,AK,Naknek,NA5,OP,"1,230"
409,2019,AK,Naknek,NA6,OP,"5,076"
410,2019,AK,Naknek,NA7,OP,"5,076"
411,2019,AK,Naknek,5,RE,
412,2019,AK,Naknek,6,RE,
413,2019,AK,Naknek,7,RE,
414,2019,AK,New Stuyahok,1,OP,511
415,2019,AK,New Stuyahok,2,OP,639
416,2019,AK,New Stuyahok,3,OP,639
417,2019,AK,Newhalen,5,OP,19
418,2019,AK,Newhalen,6,OP,19
419,2019,AK,Newhalen,7,OP,19
420,2019,AK,Newhalen,H-1,OP,"1,666"
421,2019,AK,Newhalen,H-2,OP,"1,666"
422,2019,AK,Newhalen,1,RE,
423,2019,AK,Newhalen,2,RE,
424,2019,AK,Newhalen,3,RE,
425,2019,AK,Newhalen,4,RE,
426,2019,AK,Nikiski Combined Cycle,GT1,OP,"164,217"
427,2019,AK,Nikiski Combined Cycle,ST1,OP,"75,328"
428,2019,AK,Noatak,5A,OP,697
429,2019,AK,Noatak,UNIT2,OP,418
430,2019,AK,Noatak,UNIT4,OP,697
431,2019,AK,Noatak,UNIT5,RE,
432,2019,AK,Noorvik,1A,OP,390
433,2019,AK,Noorvik,2B,OP,649
434,2019,AK,Noorvik,3A,OP,909
435,2019,AK,Noorvik,2A,RE,
436,2019,AK,Noorvik,3,RE,
437,2019,AK,North Pole,1,OP,"42,270"
438,2019,AK,North Pole,2,OP,"42,270"
439,2019,AK,North Pole,GT3,OP,"283,524"
440,2019,AK,North Pole,STG1,OP,"63,233"
441,2019,AK,Northway,1A,OP,467
442,2019,AK,Northway,2A,OP,187
443,2019,AK,Northway,5,OP,373
444,2019,AK,Northway,4,RE,
445,2019,AK,NSB Anaktuvuk Pass,1,OP,424
446,2019,AK,NSB Anaktuvuk Pass,2,OP,424
447,2019,AK,NSB Anaktuvuk Pass,3,OP,424
448,2019,AK,NSB Anaktuvuk Pass,6,OP,"1,271"
449,2019,AK,NSB Anaktuvuk Pass,7,OP,"1,271"
450,2019,AK,NSB Anaktuvuk Pass,4,RE,
451,2019,AK,NSB Anaktuvuk Pass,5,RE,
452,2019,AK,NSB Atqasuk Utility,NA1,OP,782
453,2019,AK,NSB Atqasuk Utility,NA2,OP,782
454,2019,AK,NSB Atqasuk Utility,NA3,OP,348
455,2019,AK,NSB Atqasuk Utility,PG2,OP,348
456,2019,AK,NSB Atqasuk Utility,PG3,OP,522
457,2019,AK,NSB Atqasuk Utility,PG1,RE,
458,2019,AK,NSB Kaktovik Utility,PG1A,OP,"1,561"
459,2019,AK,NSB Kaktovik Utility,PG2A,OP,"1,561"
460,2019,AK,NSB Kaktovik Utility,PG3A,OP,694
461,2019,AK,NSB Kaktovik Utility,PG4A,OP,694
462,2019,AK,NSB Nuiqsut Utility,PG1A,OP,"1,412"
463,2019,AK,NSB Nuiqsut Utility,PG2A,OP,"1,412"
464,2019,AK,NSB Nuiqsut Utility,PG3A,OP,627
465,2019,AK,NSB Nuiqsut Utility,PG3B,OP,941
466,2019,AK,NSB Nuiqsut Utility,PG5A,OP,"1,255"
467,2019,AK,NSB Nuiqsut Utility,PG6A,OP,"1,255"
468,2019,AK,NSB Nuiqsut Utility,PG4A,RE,
469,2019,AK,NSB Point Hope Utility,PG1A,OP,"2,022"
470,2019,AK,NSB Point Hope Utility,PG6,OP,"1,213"
471,2019,AK,NSB Point Hope Utility,PG7,OP,"1,213"
472,2019,AK,NSB Point Hope Utility,PG8,OP,"1,820"
473,2019,AK,NSB Point Hope Utility,PG1,RE,
474,2019,AK,NSB Point Hope Utility,PG2,RE,
475,2019,AK,NSB Point Hope Utility,PG3,RE,
476,2019,AK,NSB Point Hope Utility,PG4,RE,
477,2019,AK,NSB Point Hope Utility,PG5,RE,
478,2019,AK,NSB Point Lay Utility,PG10,OP,917
479,2019,AK,NSB Point Lay Utility,PG7,OP,917
480,2019,AK,NSB Point Lay Utility,PG8,OP,917
481,2019,AK,NSB Point Lay Utility,PG9,OP,917
482,2019,AK,NSB Point Lay Utility,PG1A,RE,
483,2019,AK,NSB Point Lay Utility,PG2A,RE,
484,2019,AK,NSB Point Lay Utility,PG3,RE,
485,2019,AK,NSB Point Lay Utility,PG3A,RE,
486,2019,AK,NSB Point Lay Utility,PG4,RE,
487,2019,AK,NSB Point Lay Utility,PG4A,RE,
488,2019,AK,NSB Point Lay Utility,PG5,RE,
489,2019,AK,NSB Point Lay Utility,PG6,RE,
490,2019,AK,NSB Wainwright Utility,PG1,OP,928
491,2019,AK,NSB Wainwright Utility,PG2,OP,928
492,2019,AK,NSB Wainwright Utility,PG3,OP,928
493,2019,AK,NSB Wainwright Utility,PG4A,OP,"2,089"
494,2019,AK,NSB Wainwright Utility,PG5,OP,"2,089"
495,2019,AK,NSB Wainwright Utility,PG4,RE,
496,2019,AK,Nunapitchuk,1A,SB,
497,2019,AK,Nunapitchuk,2,RE,
498,2019,AK,Nunapitchuk,3,RE,
499,2019,AK,Nunapitchuk,4,RE,
500,2019,AK,Nunapitchuk,5,RE,
501,2019,AK,Nymans Plant Microgrid,1,OP,0
502,2019,AK,Nymans Plant Microgrid,2,OP,0
503,2019,AK,Orca,3,OP,"1,258"
504,2019,AK,Orca,4,OP,"1,207"
505,2019,AK,Orca,5,OP,553
506,2019,AK,Orca,6,OP,553
507,2019,AK,Orca,7,OP,"1,811"
508,2019,AK,Orca,1,CN,
509,2019,AK,Orca,2,IP,755
510,2019,AK,Pelican,HC1,OP,307
511,2019,AK,Pelican,HC2,OS,410
512,2019,AK,Pelican,IC6,OP,135
513,2019,AK,Pelican,IC7,OP,135
514,2019,AK,Pelican,IC8,OP,68
515,2019,AK,Pelican,IC1,RE,
516,2019,AK,Pelican,IC2,RE,
517,2019,AK,Pelican,IC3,RE,
518,2019,AK,Pelican,IC4,RE,
519,2019,AK,Pelican,IC5,RE,
520,2019,AK,Petersburg,3,OP,"9,598"
521,2019,AK,Petersburg,IC1,OP,674
522,2019,AK,Petersburg,IC3,OP,311
523,2019,AK,Petersburg,IC4,OP,155
524,2019,AK,Petersburg,IC5,OP,207
525,2019,AK,Petersburg,IC6,OP,674
526,2019,AK,Petersburg,IC7,OP,674
527,2019,AK,Petersburg,IC8,OP,648
528,2019,AK,Petersburg,IC2,RE,
529,2019,AK,Pillar Mountain Wind Project Microgrid,1,OP,"12,508"
530,2019,AK,Pillar Mountain Wind Project Microgrid,2,OP,"12,508"
531,2019,AK,Pilot Station,1,OP,673
532,2019,AK,Pilot Station,UNIT2,OP,673
533,2019,AK,Pilot Station,UNIT3,OP,404
534,2019,AK,Pilot Station,UNIT1,RE,
535,2019,AK,Port Lions Microgrid,5,OP,
536,2019,AK,Port Lions Microgrid,1,RE,
537,2019,AK,Port Lions Microgrid,2,RE,
538,2019,AK,Port Lions Microgrid,3,RE,
539,2019,AK,Port Lions Microgrid,4,RE,
540,2019,AK,Power Creek,4,OP,"8,310"
541,2019,AK,Power Creek,5,OP,"8,310"
542,2019,AK,Purple Lake,1,OP,"3,037"
543,2019,AK,Purple Lake,2,OP,"3,037"
544,2019,AK,Purple Lake,3,OP,"3,037"
